Datos;TreeSort;HeapSort;MergeSort;QuickSort;Introsort;TimSort
10;0.01615174740000000000;0.02048530950000000000;
20;0.02189374650000000000;0.01943068140000000000;
40;0.01799579160000000000;0.01762784430000000000;
80;0.02017097380000000000;0.02580872450000000000;
160;0.02042376410000000000;0.01974957330000000000;
320;0.02274462750000000000;0.02327583770000000000;
640;0.02965818230000000000;0.03601291260000000000;
1280;0.05638620310000000000;0.05281498720000000000;
2560;0.15447474110000000000;0.14789325430000000000;
5120;0.53623672760000000000;0.51245245870000000000;
10240;02.02185760290000000000;02.10028115170000000000;
20480;07.92060486810000000000;07.72941757920000000000;
